author_name,COMMITER_HASH,T_api_design,T_bad_practice,T_brain_overload,T_cert,T_clumsy,T_confusing,T_convention,T_cwe,T_design,T_duplicate,T_html5,T_misra,T_NOT_DEFINIED,T_obsolete,T_performance,T_pitfall,T_psr2,T_redundant,T_suspicious,T_unused
Matt Mullenweg,7b41c1027179bd315aed6227e66b3cb2377efd3b,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Matt Mullenweg,46b58b378e1de7aed24c81996f18a9477acc220e,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0
Alex King,652d170af292e4ebdc115f3ac348a7b65eb8cb7b,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Matt Mullenweg,9c6a0a9403f4462aff0685ed550030bd6958f0f4,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Matt Mullenweg,33a7e6d4d40b93dcce4c092057af49c7c12c37b1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Matt Mullenweg,40fc216aa7855ab97d3915b56ee02154f4d0d09e,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Mike Little,3f34359d123dc8d627e779259dcd894878e4a2cf,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Mike Little,6467aad228d2e66eb7e6887f8123bc6cec1f1f95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Matt Mullenweg,9fd74ae0ebaa22ad60f5f2ea2280ac921e9c05db,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Matt Mullenweg,3b71e1dec106d9cbe15457303f544e659650cdae,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Matt Mullenweg,c27eefd5ba6ca8c0aaf0cfc3396b9c007e30819e,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Matt Mullenweg,b9b4a54123be61aab7a71cef17a47aab463ecf66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Dougal Campbell,0937ec283ddace2e718d11b480ec941709a2b9dd,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,78adfd35ed51700c804e5ad03c3805eafc7cb87e,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Matt Mullenweg,4d96a5e92189008c1cb84ce5443b0ead593e5866,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,03a18d42ce55fc881270fc43fa4b1f4db9db978f,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,dcb9ec612f1f195ccd5dd9895c1b3cf2ae29daeb,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0
Matt Mullenweg,f27aff65fef37354ada14a2e670705c35fc22bcd,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
Matt Mullenweg,a81f4116dd7d9e16e31d55255245462599150a56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Matt Mullenweg,0c44a675681f4a597ed633f93fe6a72598099a56,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Matt Mullenweg,93d1eba12ea4d957d8281a5e624dc693f4a1caec,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
