ID,CS,SQI
852,1879,9975
853,1877,9965
854,1877,9965
855,1877,9965
856,1877,9965
857,1877,9965
858,1876,9971
859,1876,9971
860,1876,9971
861,1876,9971
862,1876,9971
863,1876,9971
864,1876,9971
865,1876,9971
866,1876,9971
867,1876,9971
868,1876,9971
869,1904,10189
870,1905,10191
871,1905,10191
872,1850,9920
873,1871,10016
874,1871,10016
875,1871,10016
876,1871,10018
877,1871,10024
878,1872,10029
879,1872,10029
880,1872,10029
881,1879,10088
882,1879,10088
883,1876,10074
884,1876,10074
885,1823,9789
886,1874,10096
887,1887,10160
888,1889,10170
889,1889,10170
890,1889,10168
891,1889,10168
892,1889,10168
893,1891,10192
894,1891,10196
895,1860,9968
896,1860,9968
897,1892,10206
898,1892,10206
899,1892,10206
900,1891,10201
901,1891,10201
902,1899,10229
903,1898,10219
904,1898,10219
905,1898,10219
906,1898,10219
907,1899,10221
908,1901,10234
909,1901,10234
910,1900,10232
911,1901,10237
912,1904,10252
913,1904,10252
914,1725,9487
915,1725,9487
916,1900,10214
917,1901,10224
918,1901,10224
919,1901,10224
920,1901,10224
921,1901,10224
922,1901,10226
923,1901,10224
924,1901,10224
925,1901,10224
926,1901,10224
927,1901,10224
928,1902,10218
929,1902,10218
930,1902,10218
931,1903,10223
932,1903,10223
933,1902,10215
934,1902,10215
935,1903,10223
936,1926,10397
937,1926,10397
938,1927,10402
939,1930,10414
940,1925,10390
941,1925,10390
942,1930,10415
943,1930,10415
944,1930,10415
945,1941,10650
946,1946,10678
947,1946,10678
948,1946,10678
949,1947,10684
950,1947,10684
951,1947,10684
952,1951,10712
953,1951,10712
954,1971,10882
955,1971,10895
956,1978,10968
957,1981,10996
958,1981,10996
959,1981,10996
960,1981,10996
961,1981,10996
962,1981,10998
963,1980,10973
964,1980,10973
965,1980,10973
966,1980,10975
967,1980,10975
968,1981,10977
969,2017,11226
970,2017,11226
971,2018,11231
972,2018,11231
973,2018,11231
974,2023,11256
975,2023,11256
976,2023,11256
977,2024,11264
978,2025,11266
979,2044,11378
980,2045,11380
981,2045,11380
982,2049,11442
983,2048,11437
984,2053,11462
985,2053,11462
986,2053,11462
987,2061,11541
988,2067,11561
989,2067,11561
990,2067,11561
991,2067,11561
992,2067,11561
993,2067,11561
994,2065,11548
995,2066,11578
996,2072,11608
997,2072,11608
998,2072,11608
999,2072,11608
1000,2073,11613
1001,2072,11605
1002,2075,11621
1003,2075,11621
1004,2075,11621
1005,2075,11621
1006,2075,11621
1007,2074,11606
1008,2080,11626
1009,2080,11626
1010,2082,11650
1011,2083,11673
1012,2083,11670
1013,2083,11670
1014,2068,11550
1015,2069,11558
1016,2070,11560
1017,2070,11560
1018,2070,11560
1019,2070,11560
1020,2070,11560
1021,2071,11562
1022,2069,11552
1023,2069,11552
1024,2069,11550
1025,2069,11550
1026,2069,11550
1027,2069,11550
1028,2070,11552
1029,2070,11552
1030,2070,11552
1031,2071,11560
1032,2071,11560
1033,2071,11560
1034,2071,11560
1035,2071,11560
1036,2074,11581
1037,2074,11581
1038,2074,11581
1039,2075,11589
1040,2075,11589
1041,2075,11589
1042,2074,11583
1043,2071,11562
1044,2070,11557
1045,2068,11547
1046,2068,11547
1047,2068,11547
1048,2068,11549
1049,2068,11549
1050,2068,11549
1051,2067,11545
1052,2067,11545
1053,2067,11545
1054,2067,11545
1055,2081,11627
1056,2082,11629
1057,2084,11636
1058,2081,11558
1059,2081,11558
1060,2081,11558
1061,2081,11558
1062,2081,11558
1063,2081,11558
1064,2081,11558
1065,2081,11558
1066,2078,11516
1067,2078,11516
1068,2078,11516
1069,2078,11516
1070,2078,11514
1071,2078,11514
1072,2086,11544
1073,2086,11544
1074,2103,11622
1075,2103,11622
1076,2113,11675
1077,2103,11552
1078,2093,11493
1079,2092,11491
1080,2127,11631
1081,2114,11525
1082,2125,11623
1083,2125,11623
1084,2125,11624
1085,2125,11624
1086,2125,11624
1087,2123,11617
1088,2124,11635
1089,2127,11656
1090,2127,11656
1091,2127,11656
1092,2127,11656
1093,2127,11656
1094,2128,11661
1095,2130,11671
1096,2173,11840
1097,2173,11840
1098,2174,11842
1099,2176,11856
1100,2154,11888
1101,2154,11888
1102,2213,12231
1103,2213,12231
1104,2213,12231
1105,2213,12231
1106,2217,12283
1107,2208,12239
1108,1559,10226
1109,1723,11287
1110,1723,11267
1111,1723,11247
1112,1724,11262
1113,1724,11262
1114,1724,11262
1115,1724,11262
1116,1725,11264
1117,1725,11264
1118,1725,11264
1119,1740,11358
1120,1740,11358
1121,1707,11093
1122,1707,11093
1123,1707,11093
1124,1707,11093
1125,1708,11111
1126,1708,11111
1127,1708,11111
1128,1708,11051
1129,1708,11051
1130,1708,11071
1131,1710,11084
1132,1712,11088
1133,1712,11088
1134,1726,11202
1135,1727,11210
1136,1727,11210
1137,1725,11168
1138,1725,11168
1139,1725,11168
1140,1725,11168
1141,1728,11192
1142,1754,11312
1143,1754,11312
1144,1753,11307
1145,1754,11317
1146,1754,11321
1147,1754,11321
1148,1757,11354
1149,1757,11354
1150,1763,11401
1151,1722,11092
1152,1762,11399
1153,1761,11379
1154,1761,11379
1155,1778,11503
1156,1784,11533
1157,1784,11533
1158,1784,11533
1159,1789,11555
1160,1789,11555
1161,1789,11555
1162,1789,11555
1163,1789,11555
1164,1789,11555
1165,1790,11563
1166,1790,11569
1167,1790,11569
1168,1790,11569
1169,1790,11569
1170,1791,11577
1171,1791,11577
1172,1792,11585
1173,1792,11585
1174,1792,11585
1175,1796,11625
1176,1796,11625
1177,1796,11625
1178,1796,11625
1179,1796,11625
1180,1799,11620
1181,1799,11620
1182,1799,11620
1183,1799,11620
1184,1799,11620
1185,1799,11605
1186,1799,11605
1187,1799,11605
1188,1799,11605
1189,1799,11605
1190,1799,11605
1191,1799,11605
1192,1799,11605
1193,1799,11605
1194,1799,11605
1195,1806,11643
1196,1812,11667
1197,1812,11675
1198,1810,11665
1199,1810,11665
1200,1810,11665
1201,1810,11665
1202,1810,11665
1203,1813,11638
1204,1816,11647
1205,1815,11642
1206,1819,11656
1207,1819,11656
1208,1819,11656
1209,1819,11656
1210,1815,11639
1211,1815,11639
1212,1819,11656
1213,1819,11656
1214,1819,11656
1215,1814,11608
1216,1814,11608
1217,1816,11625
1218,1816,11625
1219,1817,11627
1220,1819,11635
1221,1819,11635
1222,1819,11635
1223,1819,11635
1224,1819,11635
1225,1819,11635
1226,1816,11603
1227,1819,11650
1228,1820,11655
1229,1822,11690
1230,1826,11698
1231,1826,11700
1232,1826,11700
1233,1831,11731
1234,1831,11731
1235,1835,11746
1236,1838,11757
1237,1837,11749
1238,1837,11749
1239,1845,11777
1240,1845,11777
1241,1845,11777
1242,1845,11777
1243,1834,11687
1244,1839,11709
1245,1839,11690
1246,1839,11690
1247,1839,11690
1248,1837,11688
1249,1837,11688
1250,1837,11688
1251,1837,11690
1252,1837,11690
1253,1837,11690
1254,1837,11690
1255,1841,11698
